file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0190_0131_1435267_to_1438094,གཅིག་པ་གཅིག་རྐྱང་ཅིག་ཐུག་སོང་ན་ང་ཡོད་བ། ཨེ་ནས། མིག་ཆུ་ཤོར་གི་འདུག་ ,gcig pa gcig rkyang cig thug song na nga yod ba/_e nas/_mig chu shor gi 'dug _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0131_1435267_to_1438094.wav,STT_NS,3,67,2.827,wav16k/STT_NS0190_0131_1435267_to_1438094.wav,ིག་པ་གཅིག་རྐྱང་ཅིག་ཐུག་སོང་ན་ང་ཡོད་བ་ཨེ་ནས་མིག་ཆུ་ཤོར་གི་འདུག
STT_NS0190_0132_1439236_to_1441455,ད་སྔོན་མ་ཡིན་ན། ང་ཚོ་སུ་ཇཱ་སློབ་གྲྭ་ནས་ཚུར།  ,da sngon ma yin na/_nga tsho su jA slob grwa nas tshur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0132_1439236_to_1441455.wav,STT_NS,3,45,2.219,wav16k/STT_NS0190_0132_1439236_to_1441455.wav,ད་སྔོན་མ་ཡིན་ན་ང་ཚོ་སུ་ཇཱ་སློབ་གྲྭ་ནས་ཚུར་
STT_NS0190_0133_1447513_to_1450479,དང་པོ་བོད་ནས་གསར་བ་བསླེབས་དུས་བསམ་པ་རྒན་ལགས་ཀྱིས་ཨེ་ནས།  ,dang po bod nas gsar ba bslebs dus bsam pa rgan lags kyis e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0133_1447513_to_1450479.wav,STT_NS,3,57,2.966,wav16k/STT_NS0190_0133_1447513_to_1450479.wav,དང་པོ་བོད་ནས་གསར་བ་སླེབས་དུས་ཙམ་པ་རྒན་ལགས་ཀིས་ཨེ་ནས།
STT_NS0190_0134_1453071_to_1456452,དེ་བཏུང་ ཨེ་ནས་སོ་སོའི་ཚོར་བ་བཤད་དུས་བསམ་པ་ལ། ཡ་ཡུད་ངུ་མྱོང་ཡོད་རེད་བ་ཡ།  ,de btung _e nas so so'i tshor ba bshad dus bsam pa la/_ya yud ngu myong yod red ba ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0134_1453071_to_1456452.wav,STT_NS,3,74,3.381,wav16k/STT_NS0190_0134_1453071_to_1456452.wav,དེ་བཐུང་ཨེ་ནས་སོ་སོས་ཚོར་བ་བཤད་དུས་ཙམ་པ་ལ་ཡ་ཡུད་ངུ་མྱོང་ཡོད་རེད་བ་ཡ།
STT_NS0190_0154_1660250_to_1663311,ལྟ་ག་སླེབ་ཐུབ་ཀྱི་མ་རེད་བ། རེད་རེད། ཡིན་ན་སོ་སོའི་ཀི་རོགས་པ་ཡིན་ནས་རེད་ད།  ,lta ga sleb thub kyi ma red ba/_red red/_yin na so so'i ki rogs pa yin nas red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0154_1660250_to_1663311.wav,STT_NS,3,75,3.061,wav16k/STT_NS0190_0154_1660250_to_1663311.wav,ལྟ་ག་སླེབས་ཐུབ་ཀི་མ་རེད་བ། རེད་རེད། ཡིན་ནས་སོ་སོ་གི་རོགས་པ་ཡིན་ནས་རེ་ད།
STT_NS0190_0155_1670564_to_1674159,ཨོང་ཨོང་། སོ་སོ་ན་དུས་ཡིན་ནས། སོ་སོའི་ཀི་འགྲམ་ལ་བསྡད་ངེ་དེས་ཁྱོད་ལ། ད་ལྟ་རྟོག་བྱེད་ཡ་དང་།  ,ong ong /_so so na dus yin nas/_so so'i ki 'gram la bsdad nge des khyod la/_da lta rtog byed ya dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0155_1670564_to_1674159.wav,STT_NS,3,91,3.595,wav16k/STT_NS0190_0155_1670564_to_1674159.wav,སོ་སོ་ན་དུས་ཡིན་ན་སོ་སོ་གི་འགྲམ་ལ་བསྡོད་མངི་དེ་ཁྱོད་ར་ད་ལྟ་རྟོག་བྱེད་ངེ་དང་།
STT_NS0190_0156_1678276_to_1680463,སོ་སོའི་རོགས་པ་འདི་ཚོ་ཡང་གལ་ཆེན་པོ་མ་བརྩི་ཡ་ཅིག་ཡོད་བ།  ,so so'i rogs pa 'di tsho yang gal chen po ma brtsi ya cig yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0156_1678276_to_1680463.wav,STT_NS,3,56,2.187,wav16k/STT_NS0190_0156_1678276_to_1680463.wav,སོ་སོའི་རོགས་པ་གལ་ཆེན་པོ་མ་བརྩི་ཡ་ཅིག་ཡོང་།
STT_NS0190_0157_1682948_to_1685092,མཉམ་དུ་བསྡད་ཉན་འདི། མཉམ་དུ་བསྡད་ཉན་འདི་སོ་སོ་ལ་དཱ།  ,mnyam du bsdad nyan 'di/_mnyam du bsdad nyan 'di so so la dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0157_1682948_to_1685092.wav,STT_NS,3,52,2.144,wav16k/STT_NS0190_0157_1682948_to_1685092.wav,མཉམ་དུ་བསྡད་མྱི་དེ་མཉམ་དུ་བསྡད་ྱི་དེ་སོ་སོ་ལ་ད།
STT_NS0190_0158_1701493_to_1704872,ད་མ་འོངས་པ་ལ། ཨེ་ནས། ལྕག་པོ་བྱོས། ཨོང་ཨོང་། ཕྱི་ལོགས་འགྲོ་དུས།  ,da ma 'ongs pa la/_e nas/_lcag po byos/_ong ong /_phyi logs 'gro dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0190_0158_1701493_to_1704872.wav,STT_NS,3,64,3.379,wav16k/STT_NS0190_0158_1701493_to_1704872.wav,ད་མ་འོངས་པ་ལ་ཨེ་ནས་ལཅགས་པོ་བྱས། ཕྱི་ལོགས་འགྲོ་དུས།
STT_NS0191_0001_3984_to_9684,ད་ང་ཚོ་ཡིག་ཚད་ཚ་རེད་བ། ད་ག་རེ་བྱེད་ཡ་ཡིན། ད་ཡིག་ཚད་ཚར་ནས་ད་ང་ཚོ་ཉིན་མ་ཁ་ཤས་ཅིག་སྟོང་པ་འདུག་བ། ག་བ་འགྲོ་ཡ་ཡིན་དཱ།  ,da nga tsho yig tshad tsha red ba/_da ga re byed ya yin/_da yig tshad tshar nas da nga tsho nyin ma kha shas cig stong pa 'dug ba/_ga ba 'gro ya yin dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0191_0001_3984_to_9684.wav,STT_NS,3,114,5.7,wav16k/STT_NS0191_0001_3984_to_9684.wav,ད་ང་ཚོ་ཡིག་ཚད་ཚར་རེད་། ད་ག་རེ་བྱེད་ཀ་ཡིན། ད་ཡིག་ཚད་ཚར་ནས་ད་ང་ཚོ་ཉི་མ་ཁ་ཤས་ཤིག་སྟོང་པ་འདུག་བ། ག་རེ་འགྲོ་ཡིན་ད།
